statut_pdc;arrondissement;nom_station;nbre_pdc;date_mise_en_service;coordonneesxy
En service;15e Arrondissement;Paris | Place du Commerce 5;5;2021-11-09T11:05:08+00:00;48.84545, 2.292136
En service;15e Arrondissement;Paris | Place du Commerce 5;5;2021-11-09T11:05:48+00:00;48.84545, 2.292136
En service;20e Arrondissement;Paris | Rue des Pyrénées 137;6;2021-11-03T09:11:28+00:00;48.85844, 2.402911
En service;20e Arrondissement;Paris | Rue Sorbier 40;5;2021-12-01T10:11:20+00:00;48.865685, 2.392972
En service;20e Arrondissement;Paris | Rue Pelleport 105 bis;5;2021-12-01T10:13:48+00:00;48.870655, 2.3991733
En service;20e Arrondissement;Paris | Rue des Pyrénées 356;6;2021-11-16T16:33:55+00:00;48.87387, 2.3864658
En service;18e Arrondissement;Paris | Rue Marcadet 220;7;2021-10-26T14:02:07+00:00;48.892082, 2.3331354
En service;18e Arrondissement;Paris | Rue Ordener 120;5;2021-12-01T10:26:37+00:00;48.893276, 2.3395
En service;18e Arrondissement;Paris | Rue Ravignan 1bis;6;2021-12-14T14:20:42+00:00;48.88508, 2.3375535
En service;17e Arrondissement;Paris | Avenue de Wagram 77;5;2021-11-23T16:29:54+00:00;48.88003, 2.2995074
En service;17e Arrondissement;Paris | Avenue de Niel 28;5;2021-11-23T16:27:58+00:00;48.88103, 2.2956283
En service;17e Arrondissement;Paris | Rue Brunel 42;6;2021-11-23T16:35:00+00:00;48.878845, 2.2878556
En service;16e Arrondissement;Paris | Rue du Ranelagh 33;6;2021-11-09T11:03:09+00:00;48.853813, 2.2768772
En service;16e Arrondissement;Paris | Avenue Victor Hugo 180;6;2021-11-16T16:11:48+00:00;48.865818, 2.2762194
En service;16e Arrondissement;Paris | Rue Pétrarque 2;4;2021-11-09T10:56:49+00:00;48.861294, 2.28423
En service;15e Arrondissement;Paris | Boulevard Pasteur 41;5;2021-11-09T10:54:17+00:00;48.842644, 2.313266
En service;15e Arrondissement;Paris | Boulevard Pasteur 41;5;2021-11-09T10:55:05+00:00;48.842644, 2.313266
En service;15e Arrondissement;Paris | Rue Olivier de Serres 3;4;2021-11-03T09:11:10+00:00;48.837017, 2.2986736
