,_geopoint,adresse_ban,numero_dpe,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ef,emission_ges_5_usages_par_m2,categorie_enr,date_visite_diagnostiqueur
3945,"48.827243015393414,2.3787829578968585",10 Rue Jeanne Chauvin 75013 Paris,2375N3285083R,B,B,57.0,9.4,réseau de chaleur ou de froid vertueux,2023-09-20
3946,"48.88783098977528,2.3865770061142113",8 Rue des Ardennes 75019 Paris,2375N1958753Z,B,B,50.8,10.5,Il existe plusieurs descriptifs ENR,2022-11-17
3947,"48.890493956627765,2.360227949980703",4 Rue de la Chapelle 75018 Paris,2475N3709645A,A,A,33.9,3.9,Il existe plusieurs descriptifs ENR,2024-10-21
3948,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0116817J,C,C,55.0,12.0,pompe à chaleur,2024-12-10
3949,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0114470C,A,A,33.0,2.0,pompe à chaleur,2024-12-09
3950,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2136348N,B,B,26.0,7.2,,2022-09-07
3951,"48.88088198831133,2.3936199756433822",Villa de Lorraine 75019 Paris,2249N0831212Z,A,A,15.8,1.0,pompe à chaleur,2022-04-03
3952,"48.81777103344485,2.3577390118601893",Rue Paul Bourget 75013 Paris,2475N2295212T,C,C,115.0,26.0,cogénération,2024-06-23
3953,"48.836651033793174,2.2930699414075817",37 Rue Saint-Lambert 75015 Paris,2175N0503824C,C,C,77.0,12.0,,2021-07-19
3954,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2375N0344248Q,B,B,33.2,9.7,chauffe-eau thermodynamique,2022-09-07
3955,"48.87550495652317,2.412459992853479",21 Rue des Frères Flavien 75020 Paris,2275N3239720X,B,A,67.3,2.1,Il existe plusieurs descriptifs ENR,2022-10-25
